,original_name,Cp,mass_density,T_melt,T_max,kth,phase_change_T,sp_latent_heat,SM_type,sub_type,mat_type,materials,mat_basis
unit_row,N/U,kilowatt_hour / kelvin / kilogram,kilogram / meter ** 3,degree_Celsius,degree_Celsius,watt / kelvin / meter,degree_Celsius,kilowatt_hour / kilogram,N/U,N/U,N/U,N/U,N/U
SM_name,,,,,,,,,,,,,
Solar Salt,Solar Salt,0.0004166666666666667,1840.0,240.0,560.0,,,,sensible_thermal,hot,molten_salt,Solar Salt,
HITEC,HITEC,0.0004361111111111112,1800.0,142.0,500.0,,,,sensible_thermal,hot,molten_salt,HITEC,
HITEC XL,HITEC XL,0.0003888888888888889,1900.0,130.0,480.0,,,,sensible_thermal,hot,molten_salt,HITEC XL,
Na,Sodium,0.00036111111111111115,900.0,98.0,873.0,,,,sensible_thermal,hot,metal,Na,
Mobiltherm 605,Mobiltherm 605,0.0008055555555555557,700.0,-10.0,315.0,,,,sensible_thermal,hot,oil,Mobiltherm 605,
Therminol VP1,Therminol VP1,0.0006666666666666668,750.0,15.0,400.0,,,,sensible_thermal,hot,oil,Therminol VP1,
S,Sulfur,0.00027222222222222226,1700.0,115.0,445.0,,,,sensible_thermal,hot,other_solid,S,
Vegetable Oil,Sunflower oil,0.0006111111111111112,820.0,0.0,200.0,,,,sensible_thermal,hot,oil,Vegetable Oil,
Al,Aluminium,0.0002555555555555556,2700.0,,660.0,250.0,,,sensible_thermal,hot,metal,Al,
Fe,Cast iron,0.0001527777777777778,7200.0,,1200.0,35.0,,,sensible_thermal,hot,metal,Fe,
NaCl,NaCl,0.00023611111111111115,2150.0,,800.0,3.5,,,sensible_thermal,hot,molten_salt,NaCl,
Granite,Granite,0.00030833333333333337,2600.0,,570.0,2.85,,,sensible_thermal,both,rock,Stone,
Limestone,Limestone,0.00035000000000000005,2500.0,,800.0,1.25,,,sensible_thermal,both,rock,Stone,
Sandstone,Sandstone,0.0005625000000000001,2200.0,,800.0,2.5500000000000003,,,sensible_thermal,both,rock,Stone,
Basalt,Basalt,0.0002444444444444445,2800.0,,800.0,3.3499999999999996,,,sensible_thermal,both,rock,Stone,
Al2O3,Al2O3,0.00030000000000000003,3990.0,,2050.0,8.0,,,sensible_thermal,hot,other_solid,Al2O3,
SiO2,SiO2,0.0002027777777777778,2200.0,,1720.0,1.5,,,sensible_thermal,hot,other_solid,SiO2,
MgO,MgO,0.00031944444444444446,3570.0,,2830.0,14.0,,,sensible_thermal,hot,other_solid,MgO,
Concrete,Concrete,0.0002541666666666667,2750.0,,450.0,1.0,,,sensible_thermal,both,other_solid,Concrete,
Graphite,Graphite,0.00019444444444444446,2500.0,,3500.0,150.0,,,sensible_thermal,hot,other_solid,Graphite,
HITEC,KNO3-NaNO2-NaNO3,,2057.0,,,,142.0,0.023333333333333334,latent_thermal,hot,molten_salt,HITEC,
NaLiNO3,"NaNO3-LiNO3
51-49%",,2185.0,,,,193.0,0.07361111111111111,latent_thermal,hot,molten_salt,"[('LiNO3', 0.49), ('NaNO3', 0.51)]",mass
NaKNO3,"KNO3-NaNO3
54-46%",,2071.5,,,,222.0,0.027777777777777776,latent_thermal,hot,molten_salt,"[('KNO3', 0.54), ('NaNO3', 0.46)]",mass
NaNO3,NaNO3,,2100.0,,,,306.0,0.049166666666666664,latent_thermal,hot,molten_salt,NaNO3,
KNO3,KNO3,,1933.0,,,,335.0,0.02638888888888889,latent_thermal,hot,molten_salt,KNO3,
K2CO3/Li2CO3,"K2CO3 + Li2CO3
65-35%",,2130.0,,,,505.0,0.09555555555555556,latent_thermal,hot,molten_salt,"[('K2CO3', 0.65), ('Li2CO3', 0.35)]",mass
AlSi12,"AL-Si
88-12%",,2250.0,,,,576.0,0.15555555555555556,latent_thermal,hot,metal,"[('Al', 0.88), ('Metallurgical Silicon', 0.12)]",mass
LiF,LiF,,2640.0,,,,848.0,0.29,latent_thermal,hot,molten_salt,LiF,
